Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-November-2020,347.00,350.35,343.55,348.85,347.997095386598003015,397299,9272,138258898.00,200325,50.42,6.80,1.85
14-November-2020,346.50,347.55,343.30,345.65,345.936564623819022251,83723,3970,28962847.00,56757,67.79,4.25,-0.85
13-November-2020,343.55,346.15,342.60,344.15,344.823831825339298657,640144,3801,220736907.00,564793,88.23,3.55,0.60
12-November-2020,347.50,350.50,344.40,345.60,347.136213637749830449,219699,4717,76265479.00,87462,39.81,6.10,-1.90
11-November-2020,344.90,347.60,341.50,346.90,344.635199542228704214,143303,2757,49387258.00,40130,28.00,6.10,2.00
10-November-2020,351.50,351.50,341.25,342.20,343.647958833815243602,349996,4486,120275411.00,83930,23.98,10.25,-9.30
9-November-2020,349.35,352.50,347.25,351.85,350.485710271650093344,419952,9728,147187175.00,235493,56.08,5.25,2.50
6-November-2020,346.35,348.50,343.35,346.15,344.874823442911595689,206732,4805,71296662.00,83142,40.22,5.15,-0.20
5-November-2020,348.75,349.00,344.05,345.40,346.454811683320522674,130100,2807,45073771.00,38007,29.21,4.95,-3.35
4-November-2020,336.60,351.45,336.60,342.85,345.796092337079108329,393688,6883,136135772.00,59275,15.06,14.85,6.25
3-November-2020,336.80,339.40,332.70,335.60,336.276909656054407940,236142,5365,79409102.00,81044,34.32,6.70,-1.20
2-November-2020,342.40,342.40,334.10,334.90,336.365857417032066458,142766,2849,48021608.00,41160,28.83,8.30,-7.50
30-October-2020,340.00,345.00,338.60,340.65,341.328090940263048323,326632,6483,111488677.00,84444,25.85,6.40,0.65
29-October-2020,333.75,339.80,331.20,337.55,335.710571353744769747,164189,3186,55119983.00,35214,21.45,8.60,3.80
28-October-2020,335.00,339.80,334.45,335.60,335.543736523167004622,855635,7257,287102965.00,614107,71.77,5.35,0.60
27-October-2020,338.10,339.55,331.15,334.15,333.558884183062599403,279795,4924,93328108.00,149156,53.31,8.40,-3.95
26-October-2020,343.30,344.85,336.70,339.70,341.276380419789917802,320446,7131,109360651.00,106228,33.15,8.15,-3.60
23-October-2020,346.10,347.75,341.30,342.40,344.415146621580124349,276801,6281,95334457.00,101600,36.70,6.45,-3.70
22-October-2020,340.50,348.30,340.50,344.55,344.401868131868131868,318500,7543,109691995.00,94877,29.79,7.80,4.05
21-October-2020,349.60,350.15,339.10,343.50,345.066173089303780005,413174,9229,142572371.00,123723,29.94,11.05,-6.10
20-October-2020,344.50,349.50,342.25,346.75,347.071459276740689076,579239,10208,201037325.00,149721,25.85,7.25,2.25
19-October-2020,343.00,346.40,338.75,343.25,342.965895672914120816,339605,5256,116472933.00,64811,19.08,7.65,0.25
16-October-2020,342.90,348.10,338.85,339.55,342.531265512545096868,707089,8933,242200090.00,77772,11.00,9.25,-3.35
15-October-2020,350.60,354.10,339.20,341.50,346.143063652062496021,1461021,14370,505722285.00,659311,45.13,14.90,-9.10
14-October-2020,366.60,366.60,348.50,350.15,353.642352131649685805,2098539,29023,742132268.00,367482,17.51,18.10,-16.45
13-October-2020,378.00,381.70,373.00,375.75,376.651402993823185921,1576379,20031,593745362.00,351012,22.27,8.70,-2.25
12-October-2020,378.00,379.70,369.50,377.55,375.420643899628839790,2305204,29813,865421170.00,474894,20.60,10.20,-0.45
9-October-2020,363.00,375.85,355.00,374.10,365.717465002895005979,2217612,29762,811019439.00,444777,20.06,20.85,11.10
8-October-2020,348.70,367.75,346.80,359.45,357.469690658349642933,2866410,34268,1024654696.00,308226,10.75,20.95,10.75
7-October-2020,329.00,336.50,325.55,335.25,330.774747544400006129,522072,6385,172688234.00,105068,20.13,10.95,6.25
6-October-2020,333.15,335.95,323.00,330.00,328.089705127641167759,1022985,13948,335630847.00,373237,36.48,12.95,-3.15
5-October-2020,315.75,335.90,315.45,334.05,329.166701425824779289,1620676,21627,533472573.00,672714,41.51,20.45,18.30
1-October-2020,315.25,317.75,312.05,313.00,314.722471063018315668,248039,4651,78063447.00,70196,28.30,5.70,-2.25
30-September-2020,313.70,315.70,309.65,313.60,311.413004309563217858,777573,3265,242146344.00,564506,72.60,6.05,-0.10
29-September-2020,312.55,318.50,310.50,311.40,313.817592743958466039,354794,4356,111340599.00,43931,12.38,8.00,-1.15
28-September-2020,315.70,317.00,309.65,311.55,312.756584300826332618,349012,7015,109155801.00,65335,18.72,7.35,-4.15
25-September-2020,306.45,315.00,304.30,313.90,309.842399398522165128,417638,6311,129401960.00,55617,13.32,10.70,7.45
24-September-2020,314.25,314.25,302.15,304.60,309.464519040266232346,709155,4570,219458311.00,48795,6.88,12.10,-9.65
23-September-2020,315.00,321.70,311.20,314.50,316.634030219577565221,650704,10154,206035030.00,122860,18.88,10.50,-0.50
22-September-2020,315.25,318.70,303.75,312.25,310.970268400664084117,1228760,16060,382107827.00,234476,19.08,14.95,-3.00
21-September-2020,316.45,324.55,310.05,311.95,318.570991160551037726,800163,16023,254908720.00,208046,26.00,14.50,-4.50
18-September-2020,314.55,318.85,312.45,316.50,316.358556078217746467,407529,5838,128925286.00,82930,20.35,6.40,1.95
17-September-2020,307.00,316.70,307.00,311.65,313.250093472105782423,607133,7502,190184469.00,123832,20.40,9.70,4.65
16-September-2020,307.00,313.45,304.10,312.10,308.232027683109670308,649638,8287,200239238.00,326470,50.25,9.35,5.10
15-September-2020,307.40,311.15,302.75,307.30,307.431015720190964909,752599,10305,231372275.00,133142,17.69,8.40,-0.10
14-September-2020,294.00,308.30,293.05,307.15,302.132673464128034390,1187306,13361,358723936.00,359324,30.26,15.25,13.15
11-September-2020,282.65,298.30,282.65,293.05,293.396047536990180500,1548857,21060,454428522.00,571584,36.90,15.65,10.40
10-September-2020,286.10,286.95,281.20,284.95,283.873305909939986487,201288,3055,57140290.00,51481,25.58,5.75,-1.15
9-September-2020,280.40,289.30,278.90,282.75,284.083187529573404136,636129,6399,180713554.00,83946,13.20,10.40,2.35
8-September-2020,282.00,286.90,278.60,282.25,283.807673756085796542,530744,6399,150629220.00,104899,19.76,8.30,0.25
7-September-2020,277.00,279.50,271.75,278.65,275.684952440717950505,172101,2514,47445656.00,39407,22.90,7.75,1.65
4-September-2020,279.00,279.70,275.35,276.00,276.621599407782017887,906423,7408,250736180.00,663969,73.25,4.35,-3.00
3-September-2020,274.60,287.35,274.00,282.65,281.964761982958526675,1254469,16047,353716053.00,654912,52.21,13.35,8.05
2-September-2020,272.40,276.40,271.30,273.80,273.763307174135932005,208722,3380,57140425.00,67616,32.40,5.10,1.40
1-September-2020,270.00,279.35,269.10,271.75,273.769371222631520196,627090,9267,171678035.00,315414,50.30,10.25,1.75
31-August-2020,275.00,282.00,269.65,271.40,277.049576830002176668,546707,6253,151464943.00,191861,35.09,12.35,-3.60
28-August-2020,274.05,274.95,271.50,271.95,273.087214687396625868,120920,1701,33021706.00,41095,33.99,3.45,-2.10
27-August-2020,273.00,275.20,271.20,271.90,272.520650362940698755,358323,2404,97650417.00,193248,53.93,4.00,-1.10
26-August-2020,270.00,274.55,269.00,272.00,272.168994068215521502,501704,3381,136548273.00,186643,37.20,5.55,2.00
25-August-2020,275.00,275.00,269.50,269.90,270.990268962193533833,195046,3122,52855568.00,68219,34.98,5.50,-5.10
24-August-2020,275.00,275.50,271.80,272.70,272.874884222962871124,274234,5564,74831571.00,129125,47.09,3.70,-2.30
21-August-2020,277.50,278.15,272.75,273.35,275.419788799640510026,356060,6732,98065970.00,131861,37.03,5.40,-4.15
20-August-2020,279.00,279.00,273.60,274.25,275.087220347633765276,246869,3728,67910507.00,97643,39.55,5.40,-4.75
19-August-2020,284.20,285.70,279.15,279.60,282.028568545264234988,426098,4648,120171809.00,217609,51.07,6.55,-4.60
18-August-2020,284.20,287.25,281.85,282.55,284.169920630194929065,453447,7083,128855998.00,167222,36.88,5.40,-1.65
17-August-2020,276.70,286.30,276.70,282.35,281.950109048136379601,612115,9516,172585891.00,224604,36.69,9.60,5.65
14-August-2020,280.00,280.55,276.00,276.50,278.166683606057526171,167263,2270,46526994.00,55634,33.26,4.55,-3.50
13-August-2020,279.40,281.75,274.75,277.00,278.376644467173117011,1024648,4870,285238072.00,691407,67.48,7.00,-2.40
12-August-2020,281.00,281.00,274.65,276.20,276.036725888708793478,859421,5923,237231759.00,509270,59.26,6.35,-4.80
11-August-2020,279.70,284.60,278.65,279.50,280.977304707332994850,413610,4316,116215023.00,238317,57.62,5.95,-0.20
10-August-2020,280.95,281.25,276.75,277.15,277.982017868452738615,431039,2658,119821091.00,304763,70.70,4.50,-3.80
7-August-2020,280.10,281.55,276.50,277.25,278.369078897023187000,196015,2544,54564515.00,47153,24.06,5.05,-2.85
6-August-2020,282.90,284.40,277.75,279.45,280.695060795717272235,307094,3893,86199769.00,63639,20.72,6.65,-3.45
5-August-2020,281.80,284.40,277.50,278.15,280.481024818020290021,436175,5246,122338811.00,116181,26.64,6.90,-3.65
4-August-2020,282.00,283.40,278.25,281.10,280.326508758943992104,202650,2892,56808167.00,42712,21.08,5.15,-0.90
3-August-2020,283.00,284.55,279.70,281.30,281.626108185041486437,718066,6681,202226133.00,342279,47.67,4.85,-1.70
31-July-2020,287.00,290.65,278.70,280.60,283.637351242599506206,936424,8625,265604823.00,464845,49.64,11.95,-6.40
30-July-2020,278.80,286.75,278.80,284.05,284.509025996753293986,1168569,10992,332468428.00,637270,54.53,7.95,5.25
29-July-2020,274.50,278.00,273.00,277.00,276.301497904565091040,294211,3754,81290940.00,74423,25.30,5.00,2.50
28-July-2020,270.00,276.65,269.15,275.45,273.358181006047278724,1047744,8726,286409394.00,690776,65.93,7.50,5.45
27-July-2020,271.00,273.15,267.25,268.55,270.291816467677969275,528757,6475,142918690.00,153296,28.99,5.90,-2.45
24-July-2020,268.75,271.65,265.70,270.45,268.647485302074951707,1070049,9468,287465973.00,396374,37.04,5.95,1.70
23-July-2020,267.15,271.00,262.75,266.60,264.520410169240132171,849503,6032,224710882.00,58880,6.93,8.25,-0.55
22-July-2020,271.25,272.80,263.70,265.90,266.676665614878472061,431012,5818,114940843.00,89852,20.85,9.10,-5.35
21-July-2020,277.00,281.50,269.35,271.05,275.706603138482721655,1246271,18244,343605144.00,233590,18.74,12.15,-5.95
20-July-2020,261.50,273.45,259.00,270.85,263.641905142190477074,2369146,34849,624606165.00,1670935,70.53,14.45,9.35
17-July-2020,260.00,263.70,252.00,261.50,260.237008196721311475,854000,10296,222242405.00,165213,19.35,11.70,1.50
16-July-2020,263.00,268.30,255.10,262.00,261.867866081690113442,2878292,29289,753732184.00,875298,30.41,13.20,-1.00
15-July-2020,237.00,265.50,233.80,262.95,258.142342956246482546,6313161,76545,1629694172.00,1920628,30.42,31.70,25.95
14-July-2020,229.00,231.60,224.20,225.05,227.587399299961108950,449975,4823,102408640.00,100018,22.23,7.40,-3.95
13-July-2020,224.00,229.00,222.75,227.55,226.312360950662634181,385205,4592,87176653.00,77291,20.06,6.25,3.55
10-July-2020,221.60,223.45,219.45,222.00,221.705822164971999159,109461,1753,24268141.00,20023,18.29,4.00,0.40
9-July-2020,224.85,224.85,219.80,221.60,221.855945925496229413,198245,2445,43981832.00,56324,28.41,5.05,-3.25
8-July-2020,225.45,227.60,222.45,223.00,225.106298591998434547,551917,5868,124239993.00,379893,68.83,5.15,-2.45
7-July-2020,222.60,228.30,222.10,224.75,225.676909820574219624,420118,6025,94810932.00,146802,34.94,6.20,2.15
6-July-2020,226.80,227.25,221.80,222.75,224.317995979694047902,176106,2490,39503745.00,56485,32.07,5.45,-4.05
3-July-2020,224.00,228.40,222.80,224.70,225.718914746254391957,326449,5038,73685714.00,168454,51.60,5.60,0.70
2-July-2020,220.00,225.30,220.00,224.70,224.230597514696033931,322536,2827,72322440.00,197518,61.24,5.30,4.70
1-July-2020,220.10,222.00,218.35,218.95,219.599517830481924761,163428,2822,35888710.00,52968,32.41,3.65,-1.15
30-June-2020,219.75,221.85,218.00,219.70,220.058215377426451977,102722,1470,22604820.00,23381,22.76,3.85,-0.05
29-June-2020,224.00,225.85,218.65,219.65,221.773097314948109729,199363,2863,44213350.00,36226,18.17,7.20,-4.35
26-June-2020,218.75,229.90,218.60,225.35,226.000182678496591792,1395895,15892,315472525.00,445642,31.93,11.30,6.60
25-June-2020,217.90,221.95,215.50,218.45,218.990646674334832528,145189,2298,31795033.00,31424,21.64,6.45,0.55
24-June-2020,222.80,223.95,217.70,218.15,219.618691628640880208,234490,4277,51498387.00,70490,30.06,6.25,-4.65
23-June-2020,215.25,222.30,213.10,220.65,219.078960614924154819,220515,3765,48310197.00,62629,28.40,9.20,5.40
22-June-2020,222.15,222.15,216.90,218.00,218.262854359335388466,281247,5149,61385773.00,94386,33.56,5.25,-4.15
19-June-2020,217.00,223.90,215.00,222.15,218.236527655987143927,531422,5534,115975692.00,230878,43.45,8.90,5.15
18-June-2020,217.65,219.10,214.60,218.20,217.579527869476460312,441361,5373,96031118.00,105158,23.83,4.50,0.55
17-June-2020,210.60,218.55,210.60,217.85,216.277910746173932340,964306,9162,208558087.00,139799,14.50,7.95,7.25
16-June-2020,217.50,217.80,209.70,212.45,213.130947066333188978,2394563,13491,510355480.00,79691,3.33,8.10,-5.05
15-June-2020,212.00,217.95,208.05,213.75,213.056119015573928090,416080,5807,88648390.00,54681,13.14,9.90,1.75
12-June-2020,209.90,209.90,206.40,208.00,208.299788547453991560,985091,7959,205194247.00,88809,9.02,3.50,-1.90
11-June-2020,217.70,217.70,212.35,212.80,215.641538608990128110,313010,3246,67497958.00,40446,12.92,5.35,-4.90
10-June-2020,220.50,221.05,215.75,216.95,217.480577240572084022,682627,5771,148458114.00,51718,7.58,5.30,-3.55
9-June-2020,225.00,226.25,217.20,218.30,223.113422949670962389,302549,4313,67502743.00,123434,40.80,9.05,-6.70
8-June-2020,218.05,227.10,215.85,226.05,223.229277120880326194,784073,9125,175028049.00,454341,57.95,11.25,8.00
5-June-2020,219.50,220.10,215.25,218.80,218.013238621240351344,300560,3569,65526059.00,102268,34.03,4.85,-0.70
4-June-2020,212.90,220.00,210.20,217.05,214.551230274651654964,211213,3279,45316009.00,63857,30.23,9.80,4.15
3-June-2020,216.00,217.45,210.65,211.30,212.515847913118488863,226055,3262,48040270.00,86286,38.17,6.80,-4.70
2-June-2020,215.50,218.35,211.20,215.90,216.061169312868370934,310319,2754,67047886.00,167608,54.01,7.15,0.40
1-June-2020,214.00,220.40,213.45,214.75,217.187707252856996947,440585,5290,95689646.00,93410,21.20,6.95,0.75
29-May-2020,199.80,214.75,196.35,212.55,204.082109500032459926,2479981,10432,506119754.00,836458,33.73,18.40,12.75
28-May-2020,203.75,203.90,196.10,199.30,198.757457980869218912,271186,4247,53900240.00,60471,22.30,7.80,-4.45
27-May-2020,188.95,205.20,187.75,201.75,195.090277641582825053,611868,7601,119369498.00,275108,44.96,17.45,12.80
26-May-2020,189.00,193.15,185.95,188.95,189.985420264578310506,175449,4677,33332752.00,61689,35.16,7.20,-0.05
22-May-2020,188.20,190.60,186.50,188.90,188.688391455176191345,136925,1763,25836158.00,22364,16.33,4.10,0.70
21-May-2020,181.55,191.65,181.55,189.15,188.677821571106318633,161364,2565,30445808.00,41212,25.54,10.10,7.60
20-May-2020,184.00,185.85,182.40,185.00,184.250200006575558648,91247,1181,16812278.00,11220,12.30,3.45,1.00
19-May-2020,183.30,185.70,178.20,184.45,182.514704549163236813,110306,1736,20132467.00,25539,23.15,7.50,1.15
18-May-2020,183.00,184.90,179.75,182.30,181.806383017919505654,379977,2869,69082244.00,152073,40.02,5.15,-0.70
15-May-2020,186.05,186.30,182.80,183.50,184.374645080009777928,53181,990,9805228.00,17537,32.98,3.50,-2.55
14-May-2020,184.60,187.25,183.25,186.05,185.329353678722958960,105118,2479,19481451.00,26118,24.85,4.00,1.45
13-May-2020,192.00,192.00,185.20,189.70,188.232045759480262693,127449,2011,23989986.00,29894,23.46,6.80,-2.30
12-May-2020,184.00,187.95,183.00,187.00,185.881019830028328611,70247,1264,13057584.00,13389,19.06,4.95,3.00
11-May-2020,185.00,189.90,184.20,184.80,187.304135812359370537,143551,1742,26887696.00,30692,21.38,5.70,-0.20
8-May-2020,186.95,186.95,182.80,184.00,184.237973831678939807,77269,1901,14235884.00,17604,22.78,4.15,-2.95
7-May-2020,184.95,185.35,181.25,184.10,183.578912833518877592,135637,3472,24900093.00,27471,20.25,4.10,-0.85
6-May-2020,186.00,187.90,181.20,187.15,185.345819827533484190,98106,1918,18183537.00,19867,20.25,6.70,1.15
5-May-2020,191.80,193.35,182.25,184.00,187.638037449193464339,172714,3901,32407716.00,41142,23.82,11.10,-7.80
4-May-2020,185.00,191.10,183.30,190.15,188.135766384211090850,372920,7943,70159590.00,174608,46.82,7.80,5.15
30-April-2020,184.60,192.50,183.75,190.50,187.754597767291978363,260670,3996,48941991.00,111616,42.82,8.75,5.90
29-April-2020,180.40,182.40,179.40,180.70,180.846783536479614842,144149,2897,26068883.00,60732,42.13,3.00,0.30
28-April-2020,182.00,182.35,178.15,179.75,179.567465550957296830,109945,1783,19742545.00,31812,28.93,4.20,-2.25
27-April-2020,179.50,182.55,175.50,182.00,179.338701312447078746,188960,3890,33887841.00,47578,25.18,7.05,2.50
24-April-2020,181.00,181.00,177.00,177.65,178.237199351905743184,127142,3802,22661434.00,46468,36.55,4.00,-3.35
23-April-2020,180.85,182.50,177.30,181.15,180.702147611759840476,379631,2091,68600137.00,37351,9.84,5.20,0.30
22-April-2020,178.00,179.55,174.80,178.60,178.042241020472050885,290689,2425,51754921.00,79731,27.43,4.75,0.60
21-April-2020,181.00,181.00,174.00,178.15,176.893015814931058910,213153,3759,37705277.00,64620,30.32,7.00,-2.85
20-April-2020,188.00,188.55,180.20,181.15,183.429812829443780888,279638,6720,51293946.00,124306,44.45,8.35,-6.85
17-April-2020,190.00,193.50,185.60,187.00,188.393146506529406157,230802,5573,43481515.00,64058,27.75,7.90,-3.00
16-April-2020,175.30,189.55,175.30,188.10,186.578975944362605208,1438457,9057,268385834.00,167636,11.65,14.25,12.80
15-April-2020,190.80,193.50,186.00,186.55,189.519803421208387103,412252,6098,78129918.00,118318,28.70,7.50,-4.25
13-April-2020,198.00,198.60,182.95,189.45,189.282107987844946346,299793,8292,56745451.00,101418,33.83,15.65,-8.55
9-April-2020,197.20,202.35,195.25,196.65,197.916178146463661283,194806,3121,38555259.00,36625,18.80,7.10,-0.55
8-April-2020,190.05,200.00,189.00,193.15,195.278933289094415527,192892,3791,37667744.00,32319,16.75,11.00,3.10
7-April-2020,184.10,192.60,183.20,191.90,188.805225390630632362,208061,3721,39283004.00,36432,17.51,9.40,7.80
3-April-2020,190.05,190.05,177.80,180.00,181.597991846883091625,262231,4853,47620623.00,62636,23.89,12.25,-10.05
1-April-2020,197.00,197.00,187.10,189.75,190.324920777408853462,184922,5333,35195265.00,78265,42.32,9.90,-7.25
31-March-2020,188.00,199.55,185.70,196.60,194.016319869441044471,213237,4331,41371458.00,50197,23.54,13.85,8.60
30-March-2020,180.00,187.40,179.75,184.10,184.310172065318518676,187022,4065,34470057.00,39073,20.89,7.65,4.10
27-March-2020,185.00,189.50,181.75,183.50,185.392432102532804394,219559,2877,40704577.00,34399,15.67,7.75,-1.50
26-March-2020,175.45,186.55,172.80,183.35,180.588020772812999991,223754,2648,40407292.00,49075,21.93,13.75,7.90
25-March-2020,176.00,187.50,170.40,175.15,176.576665853807230384,328060,7062,57927741.00,45893,13.99,17.10,-0.85
24-March-2020,170.00,181.70,168.45,176.55,177.129404155623298265,221098,5242,39162957.00,40508,18.32,13.25,6.55
23-March-2020,169.00,177.00,165.95,170.35,173.416279578683116357,242193,3959,42000209.00,62088,25.64,11.05,1.35
20-March-2020,165.00,185.60,162.60,179.40,175.003570687002308878,563477,6995,98610487.00,77159,13.69,23.00,14.40
19-March-2020,167.80,171.30,159.60,161.95,166.448015617452906134,347816,7944,57893283.00,105586,30.36,11.70,-5.85
18-March-2020,174.70,178.50,168.50,169.80,174.468498167198350655,281809,3792,49166793.00,75690,26.86,10.00,-4.90
17-March-2020,184.80,185.50,170.85,173.80,181.694446521096548987,347782,3610,63190058.00,84120,24.19,14.65,-11.00
16-March-2020,197.95,197.95,178.50,179.70,185.355886008723360979,221245,5913,41009063.00,96104,43.44,19.45,-18.25
13-March-2020,191.00,204.25,170.05,197.40,188.894682992364660377,418318,6976,79018046.00,75080,17.95,34.20,6.40
12-March-2020,205.90,206.60,197.75,199.20,203.716742540815609855,313238,3542,63811825.00,106653,34.05,8.85,-6.70
11-March-2020,215.00,215.00,204.90,213.15,211.842272905830402907,211289,2677,44759942.00,50334,23.82,10.10,-1.85
9-March-2020,222.45,222.45,213.20,214.25,215.832169184957959389,144741,3394,31239764.00,51051,35.27,9.25,-8.20
6-March-2020,223.00,225.80,222.85,223.55,224.122858969174374160,76657,2241,17180586.00,34141,44.54,2.95,0.55
5-March-2020,228.90,233.90,228.75,229.60,231.224115225360969069,590009,1138,136424309.00,539113,91.37,5.15,0.70
4-March-2020,227.95,229.70,222.45,228.75,225.570237297510024782,94017,2018,21207437.00,27859,29.63,7.25,0.80
3-March-2020,222.15,225.00,220.60,223.65,223.013437010516894159,89380,2775,19932941.00,36389,40.71,4.40,1.50
2-March-2020,225.00,227.00,218.50,220.75,223.779238005736493299,204306,5947,45719441.00,72076,35.28,8.50,-4.25
28-February-2020,230.80,230.80,219.65,221.10,223.904281955186986683,188115,5150,42119754.00,88534,47.06,11.15,-9.70
27-February-2020,239.95,239.95,230.75,231.60,233.073054927516957042,150380,4858,35049526.00,60940,40.52,9.20,-8.35
26-February-2020,243.00,243.10,238.50,240.00,240.018147696176318319,108168,1478,25962283.00,23552,21.77,4.60,-3.00
25-February-2020,244.95,246.55,242.35,244.15,244.378411126330207565,94910,3127,23193955.00,27472,28.95,4.20,-0.80
24-February-2020,245.00,247.70,242.50,244.20,245.487788660716569061,78206,2214,19198618.00,27893,35.67,5.20,-0.80
20-February-2020,247.60,248.85,245.10,245.55,246.430722579307484967,77168,1728,19016566.00,30242,39.19,3.75,-2.05
19-February-2020,244.55,248.20,244.55,247.55,246.797664038089570004,67210,1687,16587271.00,30988,46.11,3.65,3.00
18-February-2020,243.75,244.80,241.20,244.10,242.872123866510394176,48633,628,11811600.00,15822,32.53,3.60,0.35
17-February-2020,243.00,244.85,242.00,243.75,243.294609316303531179,42592,883,10362404.00,18642,43.77,2.85,0.75
14-February-2020,243.75,245.20,242.15,243.00,242.940487482815248776,478622,1410,116276662.00,428175,89.46,3.05,-0.75
13-February-2020,245.10,245.95,242.55,243.75,243.862873997834852597,63737,904,15543088.00,33232,52.14,3.40,-1.35
12-February-2020,241.15,247.00,241.15,244.60,244.785106889572951920,117598,1612,28786239.00,55707,47.37,5.85,3.45
11-February-2020,240.55,242.80,239.95,241.15,241.198210961374094065,85409,1248,20600498.00,33879,39.67,2.85,0.60
10-February-2020,245.00,245.50,239.55,241.00,241.455739642714152256,52451,1939,12664595.00,18286,34.86,5.95,-4.00
7-February-2020,246.20,246.95,243.00,244.00,244.586351569166587655,84376,1443,20637218.00,31825,37.72,3.95,-2.20
6-February-2020,242.30,245.80,241.70,243.60,243.945078057884290665,67514,1349,16469708.00,17770,26.32,4.10,1.30
5-February-2020,241.85,243.00,237.50,242.30,240.418413167299056932,117807,2810,28322972.00,41802,35.48,5.50,0.45
4-February-2020,238.30,241.15,237.90,240.25,239.529285079422958590,87758,5128,21020611.00,37655,42.91,3.25,1.95
3-February-2020,237.90,240.10,235.30,237.45,237.411757379499314983,96348,2487,22874148.00,30195,31.34,4.80,-0.45
1-February-2020,237.45,239.50,234.50,236.05,236.151736705868188758,182731,2824,43152243.00,27360,14.97,5.00,-1.40
31-January-2020,240.00,240.00,235.05,236.80,237.057380317282044082,178075,3655,42213993.00,67497,37.90,4.95,-3.20
