Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,1438.00,1443.15,1420.60,1424.85,1433.615206320658995061,207953,10518,298124583.00,82606,39.72,22.55,-13.15
31-December-2020,1433.05,1443.65,1425.00,1436.75,1436.042451734247939370,361540,17185,519186788.00,174385,48.23,18.65,3.70
30-December-2020,1439.70,1439.70,1413.45,1432.85,1427.308203764320785597,215072,5566,306974030.00,36858,17.14,26.25,-6.85
29-December-2020,1417.30,1434.30,1417.30,1427.10,1428.424376562404731418,328020,12731,468551764.00,152966,46.63,17.00,9.80
28-December-2020,1404.45,1421.15,1404.00,1412.90,1413.948440006325825181,221315,9960,312927999.00,94849,42.86,17.15,8.45
24-December-2020,1387.10,1403.60,1377.00,1396.90,1391.945197997441048678,529123,17693,736510219.00,328910,62.16,26.60,9.80
23-December-2020,1375.00,1381.10,1361.05,1375.75,1372.126626540849292852,390937,12930,536415067.00,187744,48.02,20.05,0.75
22-December-2020,1376.00,1387.05,1345.45,1373.50,1355.731081150461560577,973870,17234,1320305828.00,704290,72.32,41.60,-2.50
21-December-2020,1414.50,1423.80,1366.30,1372.40,1402.216471235697737379,450628,12776,631878004.00,171056,37.96,57.50,-42.10
18-December-2020,1435.00,1438.70,1405.65,1411.25,1415.828975118606144730,241345,7704,341703244.00,43090,17.85,33.05,-23.75
17-December-2020,1415.00,1444.00,1404.50,1441.40,1429.756069453600088968,620443,26082,887082145.00,381038,61.41,39.50,26.40
16-December-2020,1400.00,1416.60,1394.90,1410.75,1405.412149777428646242,339891,13315,477686941.00,157931,46.47,21.70,10.75
15-December-2020,1383.00,1395.00,1365.05,1390.40,1378.370774295222265699,278563,8730,383963098.00,62108,22.30,29.95,7.40
14-December-2020,1382.00,1387.85,1367.75,1369.80,1375.559510841893805910,324067,9038,445773444.00,197952,61.08,20.10,-12.20
11-December-2020,1386.40,1395.30,1373.30,1382.20,1381.846154913038252073,432604,18023,597792174.00,128269,29.65,22.00,-4.20
10-December-2020,1402.00,1402.00,1375.60,1385.85,1385.261178082958073448,357530,11722,495272429.00,173339,48.48,26.40,-16.15
9-December-2020,1380.00,1409.90,1376.30,1405.85,1398.725463050312539052,408109,29741,570832450.00,251246,61.56,33.60,25.85
8-December-2020,1377.00,1388.70,1365.55,1376.25,1378.209223902279833109,284977,14116,392757930.00,121974,42.80,23.15,-0.75
7-December-2020,1377.00,1379.40,1358.15,1372.15,1368.672714458356643843,502277,21395,687452825.00,235377,46.86,21.25,-4.85
4-December-2020,1377.00,1401.00,1373.40,1385.15,1386.870874890550618451,397444,15052,551203508.00,100682,25.33,27.60,8.15
3-December-2020,1420.10,1431.60,1374.25,1377.05,1397.253891927386035964,735561,35406,1027765470.00,184254,25.05,57.35,-43.05
2-December-2020,1432.00,1432.00,1395.45,1406.95,1409.895334138599398859,284792,14791,401526912.00,73383,25.77,36.55,-25.05
1-December-2020,1440.00,1448.85,1426.80,1433.55,1439.579042501221299462,143290,6378,206277281.00,32720,22.83,22.05,-6.45
27-November-2020,1433.45,1446.00,1415.60,1440.70,1428.552635431382164999,273238,10475,390334865.00,102698,37.59,30.40,7.25
26-November-2020,1415.65,1432.00,1387.15,1426.45,1408.575895206721116547,513010,16508,722613520.00,120696,23.53,44.85,10.80
25-November-2020,1450.00,1464.00,1397.25,1402.65,1431.197380372918383381,521830,22728,746841729.00,110073,21.09,66.75,-47.35
24-November-2020,1407.20,1445.00,1407.00,1438.65,1429.952304198223410889,644606,27123,921755835.00,281749,43.71,38.00,31.45
23-November-2020,1412.00,1422.00,1375.25,1394.85,1398.232524436850034909,435408,19183,608801627.00,112216,25.77,46.75,-17.15
20-November-2020,1374.00,1408.00,1365.65,1403.85,1392.125977190759333268,256475,9153,357045510.00,52032,20.29,42.35,29.85
19-November-2020,1400.00,1400.00,1368.00,1374.30,1383.452385443896479550,333963,15120,462021909.00,75312,22.55,32.00,-25.70
18-November-2020,1411.00,1418.85,1399.70,1408.50,1408.345607999888580938,502607,15389,707844361.00,183180,36.45,19.15,-2.50
17-November-2020,1386.55,1412.35,1380.80,1408.20,1399.645236201954411135,474107,17196,663581604.00,232727,49.09,31.55,21.65
14-November-2020,1370.00,1374.95,1366.00,1369.65,1370.515950678623364032,66016,6004,90475981.00,32279,48.90,8.95,-0.35
13-November-2020,1369.40,1369.40,1346.70,1359.00,1356.874333009585743845,592025,21217,803303527.00,336892,56.90,22.70,-10.40
12-November-2020,1350.00,1388.35,1350.00,1371.90,1373.570731989849663525,552494,19062,758889588.00,232239,42.03,38.35,21.90
11-November-2020,1400.00,1415.00,1370.55,1389.70,1392.761659176149342853,470595,16238,655426673.00,107305,22.80,44.45,-10.30
10-November-2020,1351.00,1395.00,1351.00,1393.60,1377.508929784346289363,817097,30050,1125558414.00,403330,49.36,44.00,42.60
9-November-2020,1311.70,1345.70,1311.70,1340.90,1333.325728548339485551,684306,27623,912402796.00,293407,42.88,34.00,29.20
6-November-2020,1260.00,1309.95,1260.00,1307.75,1295.513277243013706100,806794,30573,1045212339.00,379849,47.08,49.95,47.75
5-November-2020,1264.00,1276.10,1259.90,1269.55,1268.705167845379742170,515534,21663,654060650.00,324647,62.97,16.20,5.55
4-November-2020,1249.05,1264.55,1235.25,1257.50,1251.382608285557277954,487692,21192,610289287.00,222861,45.70,29.30,8.45
3-November-2020,1225.00,1250.00,1224.95,1248.15,1243.156514285814652378,569341,24779,707779973.00,312527,54.89,25.05,23.15
2-November-2020,1195.00,1224.90,1177.25,1215.50,1198.991939307728781412,333222,11752,399530492.00,63412,19.03,47.65,20.50
30-October-2020,1184.00,1199.25,1176.55,1183.45,1186.556561710178201041,202973,9169,240838945.00,41439,20.42,22.70,-0.55
29-October-2020,1202.00,1204.00,1178.80,1188.05,1190.566577859939103958,220704,8436,262762806.00,40089,18.16,25.20,-13.95
28-October-2020,1230.00,1231.70,1201.35,1205.35,1207.636576472219729661,735522,11497,888243270.00,559911,76.12,30.35,-24.65
27-October-2020,1221.10,1235.95,1198.00,1233.30,1216.959616558971809983,352075,14887,428461057.00,104781,29.76,37.95,12.20
26-October-2020,1232.00,1242.10,1205.00,1213.00,1225.098559818948667832,194420,7384,238183662.00,39128,20.13,37.10,-19.00
23-October-2020,1240.00,1248.00,1231.45,1235.70,1238.661889560551518033,117784,4980,145894552.00,28220,23.96,16.55,-4.30
22-October-2020,1242.00,1250.00,1223.00,1232.95,1238.538585465874896812,225318,10841,279065037.00,63170,28.04,27.00,-9.05
21-October-2020,1231.00,1250.50,1222.20,1247.05,1237.736030002250701513,750877,22180,929387517.00,420274,55.97,28.30,16.05
20-October-2020,1212.00,1227.00,1205.35,1224.15,1218.113657181846065889,479257,10377,583789497.00,280426,58.51,21.65,12.15
19-October-2020,1220.00,1228.80,1193.00,1203.35,1206.846478759922763355,820336,24011,990019613.00,140712,17.15,35.80,-16.65
16-October-2020,1182.00,1203.00,1172.95,1199.00,1192.024235946041570116,401346,12293,478414159.00,212464,52.94,30.05,17.00
15-October-2020,1214.80,1216.45,1164.40,1169.15,1190.369655688348648570,382299,11771,455077129.00,154798,40.49,52.05,-45.65
14-October-2020,1193.30,1214.80,1175.85,1210.85,1193.664696613101193779,246863,8946,294671648.00,51586,20.90,38.95,17.55
13-October-2020,1214.15,1221.50,1195.10,1198.15,1206.639666539151344127,201283,6118,242876052.00,43263,21.49,26.40,-16.00
12-October-2020,1235.00,1242.50,1206.00,1213.40,1230.209826880110856822,2023511,21367,2489343117.00,1611203,79.62,36.50,-21.60
9-October-2020,1200.00,1236.95,1191.90,1233.70,1217.994104142209131893,1151656,39316,1402710218.00,413708,35.92,45.05,33.70
