Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
July-2014,1422.10,1512.20,1334.50,1473.00,5438914,272550,7873266406.00,2671671,49.12,177.70,50.90
August-2014,1461.00,1563.00,1412.00,1556.55,3017210,215750,4532353798.00,1021716,33.86,151.00,95.55
September-2014,1553.00,1617.85,1426.00,1435.25,3460224,254979,5318211318.00,1008134,29.13,191.85,-117.75
October-2014,1440.35,1632.00,1416.45,1625.45,2905210,194796,4437559484.00,871361,29.99,215.55,185.10
November-2014,1628.00,1778.00,1612.20,1754.60,2897674,195765,4935831978.00,824540,28.46,165.80,126.60
December-2014,1761.10,1796.80,319.50,353.00,12543954,300626,5259165369.00,4724413,37.66,1477.30,-1408.10
January-2015,355.45,393.30,335.00,361.15,15901321,431726,5701902743.00,5454996,34.31,58.30,5.70
February-2015,361.00,361.00,316.55,345.55,23455751,594072,7875180195.00,7442564,31.73,44.45,-15.45
March-2015,351.00,365.00,302.80,315.30,19873685,460948,6566611602.00,5435670,27.35,62.20,-35.70
April-2015,315.00,334.80,296.95,331.25,22367383,405129,7072869749.00,9679887,43.28,37.85,16.25
May-2015,332.00,337.35,300.75,317.30,13912269,234013,4388132966.00,4379057,31.48,36.60,-14.70
June-2015,317.80,320.45,280.55,308.00,28922338,250857,8688109772.00,14147673,48.92,39.90,-9.80
July-2015,308.10,321.00,282.80,302.50,23215372,232402,7107672123.00,9551541,41.14,38.20,-5.60
August-2015,305.45,319.70,267.40,278.10,24230371,253859,7075901221.00,8566480,35.35,52.30,-27.35
September-2015,275.00,285.35,248.00,270.25,32100937,296453,8572910024.00,12151241,37.85,37.35,-4.75
October-2015,273.00,292.65,266.50,277.00,11782249,141151,3303415283.00,3604786,30.60,26.15,4.00
November-2015,277.00,282.70,256.15,274.10,12380404,139076,3313300636.00,3511977,28.37,26.55,-2.90
December-2015,275.00,276.65,242.95,261.45,29342304,208788,7537600257.00,13716444,46.75,33.70,-13.55
January-2016,261.00,263.50,216.00,230.10,23257588,207247,5549095708.00,7393234,31.79,47.50,-30.90
February-2016,227.65,229.00,180.80,190.00,56129418,350244,11155345066.00,25264466,45.01,48.20,-37.65
March-2016,195.10,241.00,193.80,236.55,32247202,240967,7149848658.00,12529204,38.85,47.20,41.45
April-2016,235.85,257.65,219.15,236.60,25410291,268631,6058815020.00,5342628,21.03,38.50,0.75
May-2016,228.00,248.90,213.20,245.20,33018129,295218,7483153121.00,10302423,31.20,35.70,17.20
June-2016,244.70,261.00,221.35,240.20,21692145,223881,5239525176.00,5383595,24.82,39.65,-4.50
July-2016,242.80,274.00,239.60,262.85,27029799,183384,7071939240.00,12669340,46.87,34.40,20.05
August-2016,257.00,261.45,236.95,257.70,25899934,203704,6429298018.00,11519424,44.48,24.50,0.70
September-2016,257.95,283.60,243.80,252.30,35928019,241304,9567690324.00,16403257,45.66,39.80,-5.65
October-2016,254.65,291.50,239.15,277.00,32658866,201555,8710555330.00,14051177,43.02,52.35,22.35
November-2016,279.95,298.20,253.75,265.00,43192196,250677,11700767908.00,19159708,44.36,44.45,-14.95
December-2016,266.90,269.50,246.90,255.30,20744718,130105,5369310917.00,9231844,44.50,22.60,-11.60
January-2017,255.70,275.50,248.30,269.05,18891478,138232,4966365715.00,7994025,42.32,27.20,13.35
February-2017,267.25,292.55,262.80,276.40,28492952,168444,8020713588.00,14497675,50.88,29.75,9.15
March-2017,277.20,287.60,264.80,277.10,74079245,198687,20429340940.00,58659849,79.19,22.80,-0.10
April-2017,278.30,291.60,265.20,278.50,25500467,130693,7083941733.00,7480744,29.34,26.40,0.20
May-2017,280.00,327.10,271.45,326.30,51195178,262011,15339484103.00,29634038,57.88,55.65,46.30
June-2017,325.90,327.50,283.50,290.10,17309313,99737,5359493717.00,8145051,47.06,44.00,-35.80
July-2017,291.00,314.50,288.60,301.95,35513452,176096,10689691105.00,16836895,47.41,25.90,10.95
August-2017,303.00,305.10,280.70,297.65,22735367,100912,6722279668.00,11741601,51.64,24.40,-5.35
September-2017,300.00,300.00,269.30,276.95,13762764,97279,3949272695.00,7000260,50.86,30.70,-23.05
October-2017,278.40,314.50,256.00,299.95,26856926,173861,7621502962.00,12091387,45.02,58.50,21.55
November-2017,303.00,332.30,302.85,307.80,23159748,169379,7340664428.00,9666197,41.74,29.45,4.80
December-2017,309.00,322.00,287.10,314.00,32923892,79332,10070611008.00,26080421,79.21,34.90,5.00
January-2018,312.00,365.65,307.75,352.95,41681148,166318,14461486290.00,14600515,35.03,57.90,40.95
February-2018,349.70,355.70,311.20,313.50,34926534,131488,11307551760.00,20299189,58.12,44.50,-36.20
March-2018,313.00,313.95,273.65,278.40,27704791,120076,8106820193.00,13732999,49.57,40.30,-34.60
April-2018,272.00,294.80,258.90,284.45,48964990,136863,13688099944.00,33513532,68.44,35.90,12.45
May-2018,284.65,317.35,275.50,285.60,16729093,132472,4997716877.00,4512534,26.97,41.85,0.95
June-2018,291.05,302.70,268.30,275.50,21579782,140938,6199100766.00,9546974,44.24,34.40,-15.55
July-2018,275.00,308.35,256.50,303.95,32034681,125831,8826242436.00,17384940,54.27,51.85,28.95
August-2018,302.00,346.90,294.05,342.65,27140030,155251,8793547672.00,8324384,30.67,52.85,40.65
September-2018,342.70,345.00,300.30,305.00,16355694,121961,5242270612.00,5834911,35.68,44.70,-37.70
October-2018,305.30,356.30,294.80,355.10,31068109,237835,10035846994.00,7472835,24.05,61.50,49.80
November-2018,356.10,375.25,347.65,355.00,21701012,147528,7764433902.00,9900687,45.62,27.60,-1.10
December-2018,359.80,369.25,335.90,360.00,20667652,110484,7347462924.00,5285418,25.57,33.35,0.20
January-2019,362.00,383.35,336.85,364.25,35262982,186326,12978111344.00,18988657,53.85,46.50,2.25
February-2019,364.00,365.70,336.25,348.80,22186545,131399,7737341819.00,11550946,52.06,29.45,-15.20
March-2019,351.80,402.70,350.10,398.85,31473075,165370,12013236812.00,17050755,54.18,52.60,47.05
April-2019,402.00,410.65,385.10,407.75,13647495,106968,5424526723.00,2716039,19.90,25.55,5.75
May-2019,404.60,437.90,375.05,423.40,25334942,209923,10170084227.00,9454064,37.32,62.85,18.80
June-2019,422.55,443.85,407.85,437.25,8694992,96005,3684782347.00,3018104,34.71,36.00,14.70
July-2019,439.70,441.95,401.90,424.50,24482854,162403,10398858531.00,16112287,65.81,40.05,-15.20
August-2019,423.70,427.60,385.80,410.40,25409681,178910,10392154560.00,14278651,56.19,41.80,-13.30
September-2019,407.95,458.45,384.60,433.40,25975989,243835,10858912611.00,10391664,40.00,73.85,25.45
October-2019,436.90,481.95,411.60,462.85,23092248,232089,10408712405.00,7038732,30.48,70.35,25.95
November-2019,466.90,520.00,460.40,511.95,16904598,195241,8339363941.00,7174034,42.44,59.60,45.05
December-2019,514.00,552.40,504.80,538.75,10346026,157642,5516816928.00,3775984,36.50,47.60,24.75
January-2020,539.20,547.45,515.00,525.55,27811073,203454,14875219269.00,11797746,42.42,32.45,-13.65
February-2020,527.00,550.45,493.40,496.05,36831817,157761,19643925083.00,30794761,83.61,57.05,-30.95
March-2020,505.20,520.00,269.00,324.50,38574143,539715,14291601706.00,12250067,31.76,251.00,-180.70
April-2020,320.00,392.80,281.60,379.90,38475089,488885,13008358052.00,10581615,27.50,111.20,59.90
May-2020,361.40,361.40,285.70,332.10,36284940,507678,11655799781.00,10121452,27.89,75.70,-29.30
June-2020,338.20,380.00,323.20,351.45,40052156,543523,14104123811.00,10087584,25.19,56.80,13.25
July-2020,355.00,395.50,340.50,346.90,39089386,535275,14237194251.00,12103751,30.96,55.00,-8.10
August-2020,347.00,422.05,340.60,395.00,48574406,463961,18180954626.00,26036275,53.60,81.45,48.00
September-2020,394.15,399.60,334.00,354.90,22528566,312300,8305812991.00,8893040,39.47,65.60,-39.25
October-2020,357.50,428.25,357.50,392.55,21890828,311762,8722168379.00,8362995,38.20,70.75,35.05
November-2020,417.95,499.00,407.20,472.80,30570946,400952,14165280007.00,13554855,44.34,91.80,54.85
December-2020,483.00,538.40,472.20,534.80,24696353,317140,12534228469.00,12189773,49.36,66.20,51.80
January-2021,534.80,561.00,512.10,537.00,14585900,206162,7867398458.00,6649349,45.59,48.90,2.20
February-2021,550.20,679.30,550.20,597.60,27943347,373271,17369755989.00,11282005,40.37,129.10,47.40
March-2021,606.00,637.75,557.20,581.25,23403821,307271,14059175310.00,12744865,54.46,80.55,-24.75
April-2021,587.70,628.45,531.00,600.40,23400530,350277,13540298124.00,10981133,46.93,97.45,12.70
May-2021,597.40,664.90,584.75,662.20,15025683,244017,9407468185.00,7379392,49.11,80.15,64.80
June-2021,663.35,664.65,616.40,630.85,11375527,228797,7272766779.00,6167675,54.22,48.25,-32.50
July-2021,632.95,693.00,630.00,682.70,12401300,199892,8143397936.00,7298876,58.86,63.00,49.75
August-2021,682.70,719.90,674.00,718.85,5626175,131452,3929937829.00,2003300,35.61,45.90,36.15
September-2021,726.00,735.00,694.20,700.80,26596031,119266,18995043088.00,23668139,88.99,40.80,-25.20
October-2021,696.00,859.70,688.35,835.35,17230424,168210,12881802717.00,12533267,72.74,171.35,139.35
